gene_name;drug_name
JUN;(-)-CAMPHOR
TRPA1;(-)-CAMPHOR
TRPM8;(-)-CAMPHOR
TRPV1;(-)-CAMPHOR
TRPV3;(-)-CAMPHOR
ALB;(-)-EPICATECHIN
ALPL;(-)-EPICATECHIN
ALPPL2;(-)-EPICATECHIN
EHMT2;(-)-EPICATECHIN
F2;(-)-EPICATECHIN
GAA;(-)-EPICATECHIN
KDM4E;(-)-EPICATECHIN
NOS3;(-)-EPICATECHIN
POLI;(-)-EPICATECHIN
POLK;(-)-EPICATECHIN
RACGAP1;(-)-EPICATECHIN
MET;(-)-OLEOCANTHAL
CYP1A2;(-)-PROPANOLOL 
CYP2D6;(-)-PROPANOLOL 
CREBBP;(-)-ROLIPRAM
CYP1A2;(-)-ROLIPRAM
CYP3A4;(-)-ROLIPRAM
PDE4B;(-)-ROLIPRAM
PDE4D;(-)-ROLIPRAM
CYP2C19;(-)-U-50488
CYP2D6;(-)-U-50488
CYP3A4;(-)-U-50488
EHMT2;(-)-U-50488
TSHR;(-)-U-50488
KCNH2;(-)-U-50488 METHANE SULFONATE
CYP2C9;(-)-USNIC ACID
ALOX5;(+)-ALPHA-TOCOPHERYL SUCCINATE
DGKA;(+)-ALPHA-TOCOPHERYL SUCCINATE
NR1I2;(+)-ALPHA-TOCOPHERYL SUCCINATE
PRKCA;(+)-ALPHA-TOCOPHERYL SUCCINATE
PRKCB;(+)-ALPHA-TOCOPHERYL SUCCINATE
SEC14L2;(+)-ALPHA-TOCOPHERYL SUCCINATE
SEC14L3;(+)-ALPHA-TOCOPHERYL SUCCINATE
USP1;(+)-ALPHA-TOCOPHERYL SUCCINATE
ADA;(+)-EHNA
PTGS1;(+)-EPICATECHIN
ALOX15;(+)-EPITAXIFOLIN
CYP3A4;(+)-EPITAXIFOLIN
HSD17B10;(+)-EPITAXIFOLIN
NFKB1;(+)-EPITAXIFOLIN
EHMT2;(+)-TAXIFOLIN
KDM4E;(+)-TAXIFOLIN
POLB;(+)-TAXIFOLIN
POLI;(+)-TAXIFOLIN
CYP3A4;(+/-)-PENTAACETYLCATECHIN
DHRS9;(+/-)-WIEDENDIOL B
NFE2L2;(1R)-TRANS-TETRAMETHRIN
TOP1;(20S,21R)-FLUOROCAMPTOTHECIN
TOP1;(20S,21S)-7-CYCLOHEXYLFLUOROCAMPTOTHECIN
TOP1;(20S,21S)-FLUOROCAMPTOTHECIN
AR;(2-NITROVINYL)BENZENE
EHMT2;(4-CHLOROPHENYL)(MORPHOLINO)METHANETHIONE
HPGD;(4-CHLOROPHENYL)(MORPHOLINO)METHANETHIONE
HSD17B10;(4-CHLOROPHENYL)(MORPHOLINO)METHANETHIONE
PLK1;(4-CHLOROPHENYL)(MORPHOLINO)METHANETHIONE
FDPS;(CYCLOHEXYLAMINO)METHYLENEDIPHOSPHONIC ACID
EHMT2;(D)-SERINE
GLRA1;(D)-SERINE
GLRA1;(D)-SERINE
GRIN1;(D)-SERINE
GRIN1;(D)-SERINE
GRIN1;(D)-SERINE
GRIN2A;(D)-SERINE
GRIN2B;(D)-SERINE
GRIN2C;(D)-SERINE
GRIN2D;(D)-SERINE
SERPINB3;(D)-SERINE
AR;(R)-BICALUTAMIDE
AR;(R)-BICALUTAMIDE
EYA2;(R)-EDELFOSINE
GMNN;(R)-EDELFOSINE
CYP2C19;(R)-FELODIPINE
CYP2C9;(R)-FELODIPINE
CYP3A4;(R)-FELODIPINE
CYP2C19;(R)-FLECAINIDE
CYP2C9;(R)-FLECAINIDE
CYP2D6;(R)-FLECAINIDE
TSHR;(R)-FLECAINIDE
PTGS2;(R)-IBUPROPHEN
TP53;(R)-INDOPROFEN
CYP3A4;(R)-MELPHALAN
HIF1A;(R)-MELPHALAN
PLAU;(R)-MEXILETINE
KIF11;(R)-MON-97
CYP2C19;(R)-NITRENDIPINE
CYP2C9;(R)-NITRENDIPINE
CYP3A4;(R)-NITRENDIPINE
NFKB1;(R)-NITRENDIPINE
