interaction_types;drug_name
activator;(-)-CAMPHOR
agonist,activator;(-)-CAMPHOR
inhibitor;(-)-CAMPHOR
inhibitor;(-)-ROLIPRAM
inhibitor;(CYCLOHEXYLAMINO)METHYLENEDIPHOSPHONIC ACID
agonist;(D)-SERINE
inhibitor;1400W
agonist;2-ARACHIDONOYLGLYCEROL
inhibitor;2-MERCAPTOBENZOTHIAZOLE
agonist;2-METHYLHISTAMINE
antagonist;4-DAMP
agonist;4-METHYLHISTAMINE
inhibitor;4SC-203
blocker;5-BENZYLOXYTRYPTAMINE
agonist;5-MEO-DMT
agonist;5-OXO-ETE
antagonist;8-CHLOROTHEOPHYLLINE
antagonist;8-CYCLOPENTYLTHEOPHYLLINE
agonist;8-OH-DPAT
antagonist;A-119637
antagonist;A-123189
antagonist;A-349,821
inhibitor;A-443654
agonist;ABALOPARATIDE
ligand;ABALOPARATIDE
antagonist;ABARELIX
antagonist;ABATACEPT
inhibitor;ABATACEPT
inhibitor;ABC-294640
antagonist;ABCIXIMAB
inhibitor;ABCIXIMAB
agonist;ABEDITEROL
inhibitor;ABEMACICLIB
inhibitor;ABEXINOSTAT
inhibitor;ABIRATERONE
inhibitor;ABIRATERONE ACETATE
inhibitor;ABITUZUMAB
inhibitor;ABIVERTINIB
inhibitor;ABOBOTULINUMTOXINA
inhibitor;ABROCITINIB
antagonist;ABT 737
antagonist;ABT-102
agonist;ABT-107
agonist;ABT-126
antagonist;ABT-288
inhibitor;ABT-384
modulator;ABT-560
blocker;ABT-639
inhibitor;ABX-IL8
inhibitor;AC-430
inhibitor;AC-480
inhibitor;ACALABRUTINIB
inhibitor;ACALISIB
antagonist;ACAMPROSATE
positive modulator;ACAMPROSATE
antagonist;ACAMPROSATE CALCIUM
inhibitor;ACARBOSE
antagonist;ACEBUTOLOL
partial agonist;ACEBUTOLOL
antagonist;ACEBUTOLOL HYDROCHLORIDE
inhibitor;ACECLOFENAC
antagonist;ACEMETACIN
inhibitor;ACENOCOUMAROL
antagonist;ACEPROMAZINE
antagonist;ACEPROMETAZINE
activator;ACETALDEHYDE
activator;ACETAMINOPHEN
inhibitor;ACETAMINOPHEN
inhibitor;ACETAZOLAMIDE
inhibitor;ACETAZOLAMIDE SODIUM
blocker;ACETOHEXAMIDE
inhibitor;ACETOHEXAMIDE
antagonist;ACETOPHENAZINE
antagonist;ACETOPHENAZINE MALEATE
agonist;ACETYLCHOLINE
agonist;ACETYLCHOLINE CHLORIDE
activator;ACETYLCYSTEINE
inhibitor;ACETYLCYSTEINE
ligand;ACETYLCYSTEINE
modulator;ACETYLCYSTEINE
stimulator;ACETYLCYSTEINE
inhibitor;ACETYLDIGITOXIN
agonist;ACIFRAN
agonist;ACIPIMOX
agonist;ACITRETIN
antagonist;ACLIDINIUM
antagonist;ACLIDINIUM BROMIDE
modulator;ACOLBIFENE
activator;ACONITINE
antagonist;ACRIVASTINE
activator;ACROLEIN
inhibitor;ACUMAPIMOD
antibody;ADALIMUMAB
inhibitor;ADALIMUMAB
agonist;ADAPALENE
antagonist;ADAPALENE
inhibitor;ADAPALENE
inhibitor;ADAVOSERTIB
antagonist;ADC3680
inhibitor;ADECATUMUMAB
activator;ADEMETIONINE
cofactor;ADEMETIONINE
agonist;ADENOSINE
blocker;ADENOSINE
inhibitor;ADENOSINE
agonist;ADENOSINE DIPHOSPHATE
inhibitor;ADENOSINE DIPHOSPHATE
activator;ADENOSINE PHOSPHATE
inhibitory allosteric modulator,antagonist;ADENOSINE PHOSPHATE
product of;ADENOSINE PHOSPHATE
activator;ADENOSINE TRIPHOSPHATE
agonist;ADENOSINE TRIPHOSPHATE
agonist,antagonist;ADENOSINE TRIPHOSPHATE
blocker,inhibitor;ADENOSINE TRIPHOSPHATE
cofactor;ADENOSINE TRIPHOSPHATE
inhibitor;ADENOSINE TRIPHOSPHATE
ligand;ADINAZOLAM
positive modulator;ADINAZOLAM
partial agonist;ADIPIPLON
agonist;ADL-5747
antagonist;ADOMEGLIVANT
agonist;ADP-597
agonist;ADU-S100
inhibitor;AEE-788
inhibitor;AEW-541
antagonist;AFACIFENACIN
blocker;AFACIFENACIN
agonist;AFAMELANOTIDE
inhibitor;AFATINIB
inhibitor;AFATINIB DIMALEATE
inhibitor;AFELIMOMAB
agonist;AFIMOXIFENE
agonist,antagonist;AFIMOXIFENE
antagonist;AFIMOXIFENE
inhibitor;AFIMOXIFENE
modulator;AFIMOXIFENE
antibody;AFLIBERCEPT
binder;AFLIBERCEPT
inhibitor;AFLIBERCEPT
inhibitor;AFURESERTIB
inhibitor;AG-13958
inhibitor;AG-24322
agonist;AGATOLIMOD
inhibitor;AGATOLIMOD
agonist;AGATOLIMOD SODIUM
activator;AGMATINE
agonist;AGMATINE
antagonist;AGMATINE
agonist;AGOMELATINE
antagonist;AGOMELATINE
inhibitor;AJMALINE
inhibitor;AKN-028
inhibitor;AL-901
antagonist;ALACIZUMAB PEGOL
inhibitor;ALANINE
inhibitor;ALBENDAZOLE
agonist;ALBIGLUTIDE
agonist;ALBINTERFERON ALFA-2B
agonist;ALBUTEROL
agonist;ALBUTEROL SULFATE
antagonist;ALCAFTADINE
antagonist;ALCLOFENAC
agonist;ALCLOMETASONE
agonist;ALCLOMETASONE DIPROPIONATE
agonist;ALCOHOL
antagonist;ALCOHOL
allosteric modulator;ALCURONIUM
agonist;ALDESLEUKIN
